,Release Group,Worldwide,Domestic,Foreign,Year
2817,Death of a Dynasty,"$42,108","$42,108",-,2005
2818,My Mother's Smile 2005 Re-release,"$41,432","$41,432",-,2005
2819,The Intruder,"$40,853","$40,853",-,2005
2820,Hate Crime,"$40,758","$40,758",-,2005
2821,Zizek!,"$40,331","$20,177","$20,154",2005
2822,Margaret Cho: Assassin,"$40,123","$40,123",-,2005
2823,The Year of the Yao,"$38,585","$35,591","$2,994",2005
2824,Dirty Love,"$36,099","$36,099",-,2005
2825,Jiminy Glick in Lalawood,"$36,039","$36,039",-,2005
2826,Campfire,"$34,835","$34,835",-,2005
2827,Smile,"$32,833","$32,833",-,2005
2828,Reel Paradise,"$31,918","$31,918",-,2005
2829,Going Shopping,"$31,908","$31,908",-,2005
2830,39 Pounds of Love,"$30,330","$28,195","$2,135",2005
2831,Down to the Bone,"$30,241","$30,241",-,2005
2832,Naked Fame,"$29,220","$29,220",-,2005
2833,Eternal,"$28,089","$28,089",-,2005
2834,Cape of Good Hope,"$26,904","$26,904",-,2005
2835,"Sex, Politics & Cocktails","$26,087","$26,087",-,2005
2836,"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling","$26,073","$26,073",-,2005
2837,Drivers Wanted,"$25,189","$25,189",-,2005
2838,The Man Who Copied,"$24,391","$24,391",-,2005
2839,Emmanuel's Gift,"$23,728","$23,728",-,2005
2840,Blackmail Boy 2005 Re-release,"$22,393","$22,393",-,2005
2841,Three Dancing Slaves,"$21,888","$21,888",-,2005
2842,Slutty Summer,"$21,515","$21,515",-,2005
2843,Three of Hearts 2005 Re-release,"$21,429","$21,429",-,2005
2844,Bigger Than the Sky,"$21,398","$21,398",-,2005
2845,Dallas 362,"$21,108","$21,108",-,2005
2846,Major Dundee,"$20,807","$20,807",-,2005
2847,Voices in Wartime,"$20,702","$20,702",-,2005
2848,The Last Dispatch,"$20,684","$20,684",-,2005
2849,Chaos,"$20,166","$10,289","$9,877",2005
2850,The Deal,"$20,035",-,"$20,035",2005
2851,Melancholian 3 huonetta,"$19,317","$19,317",-,2005
2852,A League of Ordinary Gentlemen 2005 Re-release,"$18,807","$18,807",-,2005
2853,Mr Ya Miss,"$18,516","$18,516",-,2005
2854,The Reception,"$18,389","$18,389",-,2005
2855,"Milwaukee, Minnesota","$17,528","$17,528",-,2005
2856,Sunset Story,"$17,508","$17,508",-,2005
2857,The Great Water,"$17,257","$17,257",-,2005
2858,Fascination,"$16,670","$16,670",-,2005
2859,The Last Mogul,"$16,469","$16,469",-,2005
2860,Ethan Mao,"$16,444","$10,178","$6,266",2005
2861,Night of Henna,"$16,027","$16,027",-,2005
2862,Bomb the System,"$15,520","$15,520",-,2005
2863,Save the Green Planet!,"$15,516","$15,516",-,2005
2864,One Bright Shining Moment,"$15,504","$15,504",-,2005
2865,Formula 17 2005 Re-release,"$15,427","$15,427",-,2005
2866,Wild Side,"$15,355","$15,355",-,2005
2867,Harry + Max,"$15,247","$15,247",-,2005
2868,A Tale of Two Pizzas,"$14,831","$14,831",-,2005
2869,Up for Grabs,"$13,931","$13,931",-,2005
2870,Duane Hopwood,"$13,510","$13,510",-,2005
2871,Gory Gory Hallelujah,"$12,604","$12,604",-,2005
2872,Daltry Calhoun,"$12,551","$12,551",-,2005
2873,The Far Side of the Moon 2005 Re-release,"$12,534","$12,534",-,2005
2874,All Babes Want to Kill Me,"$11,975","$11,975",-,2005
2875,Writer of O,"$11,728","$11,728",-,2005
2876,Girl Play,"$11,523","$11,523",-,2005
2877,Winning Girls Through Psychic Mind Control,"$11,089","$11,089",-,2005
2878,One More Round,"$10,629","$10,629",-,2005
2879,Fighting Tommy Riley,"$10,514","$10,514",-,2005
2880,Finding Home,"$9,736","$9,736",-,2005
2881,The President's Last Bang,"$9,724","$9,724",-,2005
2882,Innocence and Experience: The Making of 'The Age of Innocence',"$9,395","$9,395",-,2005
2883,First Love 2005 Re-release,"$9,392","$9,392",-,2005
2884,Milk and Honey,"$9,331","$9,331",-,2005
2885,Living Life,"$9,064","$9,064",-,2005
2886,The Swenkas,"$8,860","$8,860",-,2005
2887,Twist of Faith,"$8,129","$8,129",-,2005
2888,16 Years of Alcohol,"$8,046","$8,046",-,2005
2889,Occupation: Dreamland,"$8,018","$8,018",-,2005
2890,A Decent Factory,"$7,925","$7,925",-,2005
2891,Aristide and the Endless Revolution,"$6,998","$6,998",-,2005
2892,The Aggressives,"$6,533","$6,533",-,2005
2893,Santa santita,"$6,470","$6,470",-,2005
2894,"White King, Red Rubber, Black Death","$6,458","$6,458",-,2005
2895,McLibel,"$6,450","$4,337","$2,113",2005
2896,Solitude,"$6,260","$6,260",-,2005
2897,Emile,"$5,799","$5,799",-,2005
2898,The Overture 2005 Re-release,"$5,740","$2,254","$3,486",2005
2899,Dream,"$5,729","$5,729",-,2005
2900,The Roost,"$5,642","$5,642",-,2005
2901,Quattro Noza,"$5,471","$5,471",-,2005
2902,"Peace, Propaganda & the Promised Land","$4,930","$4,930",-,2005
2903,Perlasca,"$4,780","$4,780",-,2005
2904,Isn't This a Time! A Tribute Concert for Harold Leventhal,"$4,683","$4,683",-,2005
2905,Sacred Stage: The Mariinsky Theater,"$4,410","$4,410",-,2005
2906,This Divided State,"$4,255","$4,255",-,2005
2907,The Painting,"$4,115","$4,115",-,2005
2908,A Hole in My Heart,"$3,784","$3,784",-,2005
2909,The Helix... Loaded,"$3,700","$3,700",-,2005
2910,Happy Here and Now,"$3,574","$3,574",-,2005
2911,I Love Your Work,"$3,264","$3,264",-,2005
2912,Sex Sells: The Making of 'Touché',"$3,252","$3,252",-,2005
2913,Nowhere Man,"$3,105","$3,105",-,2005
2914,Unveiled,"$3,025","$3,025",-,2005
2915,15,"$3,013","$3,013",-,2005
2916,Stolen Childhoods,"$2,996","$2,996",-,2005
2917,Three Days of Rain,"$2,841","$2,841",-,2005
2918,The Optimists,"$2,377","$2,377",-,2005
2919,Side Effects,"$2,216","$2,216",-,2005
2920,Steal Me,"$1,967","$1,967",-,2005
2921,With God on Our Side: George W. Bush and the Rise of the Religious Right in America,"$1,884","$1,884",-,2005
2922,She's One of Us 2005 Re-release,"$1,870","$1,870",-,2005
2923,Das Boot ist voll 2005 Re-release,"$1,718","$1,718",-,2005
2924,Making Grace,"$1,496","$1,496",-,2005
2925,The Letter: An American Town and the 'Somali Invasion',"$1,479","$1,479",-,2005
2926,Kalyug,"$1,435","$1,435",-,2005
2927,Monumental: David Brower's Fight for Wild America,"$1,430","$1,430",-,2005
2928,Return to the Land of Wonders,"$1,338","$1,338",-,2005
2929,Proteus: A Nineteenth Century Vision,"$1,246","$1,246",-,2005
2930,Spooky House 2005 Re-release,$637,$637,-,2005
2931,Steve + Sky,$624,$624,-,2005
2932,The Comedians of Comedy,$549,$549,-,2005
2933,The Dark Hours,$423,$423,-,2005
2934,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812","$642,863,913",2006
2935,The Da Vinci Code,"$760,006,945","$217,536,138","$542,470,807",2006
2936,Ice Age: The Meltdown,"$660,998,756","$195,330,621","$465,668,135",2006
2937,Casino Royale,"$606,099,584","$167,445,960","$438,653,624",2006
2938,Night at the Museum,"$574,480,841","$250,863,268","$323,617,573",2006
2939,Cars,"$461,983,149","$244,082,982","$217,900,167",2006
2940,X-Men: The Last Stand,"$460,435,291","$234,362,462","$226,072,829",2006
2941,Mission: Impossible III,"$398,479,497","$134,029,801","$264,449,696",2006
2942,Superman Returns,"$391,081,192","$200,081,192","$191,000,000",2006
2943,Happy Feet,"$384,335,608","$198,000,317","$186,335,291",2006
2944,Over the Hedge,"$339,795,890","$155,019,340","$184,776,550",2006
2945,The Devil Wears Prada,"$326,705,902","$124,740,460","$201,965,442",2006
2946,The Pursuit of Happyness,"$307,127,625","$163,566,459","$143,561,166",2006
2947,The Departed,"$291,465,034","$132,384,315","$159,080,719",2006
2948,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958","$134,046,935",2006
2949,Eragon,"$250,425,512","$75,030,163","$175,395,349",2006
2950,Click,"$240,685,326","$137,355,633","$103,329,693",2006
2951,The Holiday,"$205,841,885","$63,224,849","$142,617,036",2006
2952,The Break-Up,"$205,668,210","$118,703,275","$86,964,935",2006
2953,Open Season,"$200,811,689","$85,105,259","$115,706,430",2006
2954,Inside Man,"$186,003,591","$88,513,495","$97,490,096",2006
2955,Poseidon,"$181,674,817","$60,674,817","$121,000,000",2006
2956,Deja Vu,"$180,557,550","$64,038,616","$116,518,934",2006
2957,Flushed Away,"$178,281,554","$64,665,672","$113,615,882",2006
2958,Scary Movie 4,"$178,262,620","$90,710,620","$87,552,000",2006
2959,Blood Diamond,"$171,720,398","$57,377,916","$114,342,482",2006
2960,Saw III,"$164,874,275","$80,238,724","$84,635,551",2006
2961,Miami Vice,"$164,231,296","$63,450,470","$100,780,826",2006
2962,The Pink Panther,"$164,115,897","$82,226,474","$81,889,423",2006
2963,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377","$15,148,718",2006
2964,World Trade Center,"$163,247,198","$70,278,893","$92,968,305",2006
2965,The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415","$96,450,195",2006
2966,Rocky Balboa,"$155,929,020","$70,270,943","$85,658,077",2006
2967,Dreamgirls,"$155,430,335","$103,365,956","$52,064,379",2006
2968,Charlotte's Web,"$148,963,822","$82,985,708","$65,978,114",2006
2969,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747","$114,899,223",2006
2970,Monster House,"$141,861,243","$73,661,010","$68,200,233",2006
2971,Big Momma's House 2,"$141,522,961","$70,165,972","$71,356,989",2006
2972,Babel,"$135,330,182","$34,302,837","$101,027,345",2006
2973,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293","$132,816,631",2006
2974,V for Vendetta,"$132,511,035","$70,511,035","$62,000,000",2006
2975,"You, Me and Dupree","$130,628,903","$75,628,110","$55,000,793",2006
2976,Failure to Launch,"$130,224,158","$88,715,192","$41,508,966",2006
2977,The Queen,"$123,384,128","$56,441,711","$66,942,417",2006
2978,Apocalypto,"$120,673,227","$50,866,635","$69,806,592",2006
2979,Eight Below,"$120,455,994","$81,612,565","$38,843,429",2006
2980,The Omen,"$119,974,972","$54,607,383","$65,367,589",2006
2981,Final Destination 3,"$118,890,272","$54,098,051","$64,792,221",2006
2982,Barnyard,"$116,755,080","$72,637,803","$44,117,277",2006
2983,The Lake House,"$114,830,111","$52,330,111","$62,500,000",2006
2984,Step Up,"$114,194,847","$65,328,121","$48,866,726",2006
2985,Underworld: Evolution,"$111,476,513","$62,318,875","$49,157,638",2006
2986,The Santa Clause 3: The Escape Clause,"$110,768,122","$84,500,122","$26,268,000",2006
2987,The Prestige,"$109,676,311","$53,089,891","$56,586,420",2006
2988,Arthur and the Invisibles,"$107,944,236","$15,132,763","$92,811,473",2006
2989,Little Man,"$104,003,322","$58,645,052","$45,358,270",2006
2990,The Wild,"$102,338,515","$37,384,046","$64,954,469",2006
2991,Little Miss Sunshine,"$101,058,954","$59,891,098","$41,167,856",2006
2992,Silent Hill,"$100,605,135","$46,982,632","$53,622,503",2006
2993,The Good Shepherd,"$100,266,865","$59,952,835","$40,314,030",2006
2994,Nacho Libre,"$99,255,460","$80,197,993","$19,057,467",2006
2995,Deep Sea,"$98,230,905","$46,412,757","$51,818,148",2006
2996,The Guardian,"$94,973,540","$55,011,732","$39,961,808",2006
2997,The Host,"$89,431,890","$2,201,923","$87,229,967",2006
2998,The Illusionist,"$87,892,388","$39,868,642","$48,023,746",2006
2999,RV,"$87,528,173","$71,726,025","$15,802,148",2006
3000,The Shaggy Dog,"$87,134,280","$61,123,569","$26,010,711",2006
3001,Date Movie,"$85,749,034","$48,548,426","$37,200,608",2006
3002,Volver,"$85,585,177","$12,899,867","$72,685,310",2006
3003,Jackass Number Two,"$84,645,164","$72,778,712","$11,866,452",2006
3004,Pan's Labyrinth,"$83,850,267","$37,634,615","$46,215,652",2006
3005,Firewall,"$82,751,189","$48,751,189","$34,000,000",2006
3006,Hostel,"$81,979,826","$47,326,473","$34,653,353",2006
3007,The Sentinel,"$78,810,595","$36,280,697","$42,529,898",2006
3008,Curse of the Golden Flower,"$78,568,977","$6,566,773","$72,002,204",2006
3009,The Lives of Others,"$77,356,942","$11,286,112","$66,070,830",2006
3010,United 93,"$76,700,659","$31,483,450","$45,217,209",2006
3011,Lady in the Water,"$72,785,169","$42,285,169","$30,500,000",2006
3012,The Grudge 2,"$70,711,175","$39,143,839","$31,567,336",2006
3013,Children of Men,"$70,455,770","$35,552,383","$34,903,387",2006
3014,The Hills Have Eyes,"$70,008,952","$41,778,863","$28,230,089",2006
3015,Curious George,"$69,865,924","$58,360,760","$11,505,164",2006
3016,John Tucker Must Die,"$68,844,775","$41,011,711","$27,833,064",2006
3017,Letters from Iwo Jima,"$68,673,228","$13,756,082","$54,917,146",2006
3018,Fearless,"$68,072,848","$24,633,730","$43,439,118",2006
3019,When a Stranger Calls,"$67,062,123","$47,860,214","$19,201,909",2006
3020,Take the Lead,"$66,499,627","$34,742,066","$31,757,561",2006
3021,Flags of Our Fathers,"$65,900,249","$33,602,376","$32,297,873",2006
3022,16 Blocks,"$65,664,721","$36,895,141","$28,769,580",2006
3023,The Benchwarmers,"$64,962,629","$59,843,754","$5,118,875",2006
3024,Madea's Family Reunion,"$63,368,939","$63,318,000","$50,939",2006
3025,Snakes on a Plane,"$62,022,014","$34,020,814","$28,001,200",2006
3026,My Super Ex-Girlfriend,"$61,108,981","$22,530,295","$38,578,686",2006
3027,Marie Antoinette,"$60,917,189","$15,962,471","$44,954,718",2006
3028,Invincible,"$58,480,828","$57,806,952","$673,876",2006
3029,She's the Man,"$57,194,667","$33,741,133","$23,453,534",2006
3030,Lucky Number Slevin,"$56,308,881","$22,495,466","$33,813,415",2006
3031,The Ant Bully,"$55,181,129","$28,142,535","$27,038,594",2006
3032,Stranger Than Fiction,"$53,653,224","$40,660,952","$12,992,272",2006
3033,The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763","$12,246,643",2006
3034,Notes on a Scandal,"$49,814,392","$17,510,118","$32,304,274",2006
3035,An Inconvenient Truth,"$49,782,012","$24,146,161","$25,635,851",2006
3036,The Black Dahlia,"$49,332,692","$22,545,080","$26,787,612",2006
3037,The Last King of Scotland,"$48,618,191","$17,606,684","$31,011,507",2006
3038,Deck the Halls,"$47,232,776","$35,093,569","$12,139,207",2006
3039,The Nativity Story,"$46,432,264","$37,629,831","$8,802,433",2006
3040,We Are Marshall,"$43,545,364","$43,545,364",-,2006
3041,Last Holiday,"$43,446,924","$38,399,961","$5,046,963",2006
3042,Glory Road,"$42,938,449","$42,647,449","$291,000",2006
3043,Crank,"$42,931,041","$27,838,408","$15,092,633",2006
3044,Man of the Year,"$42,472,472","$37,327,390","$5,145,082",2006
3045,A Good Year,"$42,269,923","$7,459,300","$34,810,623",2006
3046,Gridiron Gang,"$41,480,851","$38,432,823","$3,048,028",2006
3047,Thank You for Smoking,"$39,323,027","$24,793,509","$14,529,518",2006
3048,Scoop,"$39,220,946","$10,525,717","$28,695,229",2006
3049,The Wicker Man,"$38,805,380","$23,649,127","$15,156,253",2006
3050,Basic Instinct 2,"$38,629,478","$5,971,336","$32,658,142",2006
3051,Accepted,"$38,623,262","$36,323,505","$2,299,757",2006
3052,Employee of the Month,"$38,395,414","$28,444,855","$9,950,559",2006
3053,Just My Luck,"$38,159,905","$17,326,650","$20,833,255",2006
3054,The Covenant,"$37,598,767","$23,380,495","$14,218,272",2006
3055,Miss Potter,"$35,078,241","$3,005,605","$32,072,636",2006
3056,Love and Honour,"$33,755,574","$60,910","$33,694,664",2006
3057,Tell No One,"$33,406,992","$6,177,192","$27,229,800",2006
3058,Dhoom 2,"$32,396,427","$2,643,586","$29,752,841",2006
3059,Stick It,"$31,976,848","$26,910,736","$5,066,112",2006
3060,Ultraviolet,"$31,070,211","$18,535,812","$12,534,399",2006
3061,Pulse,"$29,907,685","$20,264,436","$9,643,249",2006
3062,An American Haunting,"$29,612,137","$16,298,046","$13,314,091",2006
3063,The Valet,"$29,414,553","$1,926,800","$27,487,753",2006
3064,Tristan & Isolde,"$28,047,963","$14,734,633","$13,313,330",2006
3065,Priceless,"$27,949,650","$2,165,188","$25,784,462",2006
3066,Stay Alive,"$27,298,695","$23,086,480","$4,212,215",2006
3067,Clerks II,"$26,984,975","$24,148,068","$2,836,907",2006
3068,The Painted Veil,"$26,910,847","$8,060,487","$18,850,360",2006
3069,Black Book,"$26,768,563","$4,398,532","$22,370,031",2006
3070,A Prairie Home Companion,"$25,978,867","$20,342,852","$5,636,015",2006
3071,Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444","$21,953,724",2006
3072,School for Scoundrels,"$23,947,685","$17,807,569","$6,140,116",2006
3073,Alex Rider: Operation Stormbreaker,"$23,937,870","$677,646","$23,260,224",2006
3074,Valley of the Wolves: Iraq,"$23,465,471",-,"$23,465,471",2006
3075,"OSS 117: Cairo, Nest of Spies","$23,041,621","$303,543","$22,738,078",2006
3076,Aquamarine,"$22,989,957","$18,597,342","$4,392,615",2006
3077,Days of Glory,"$22,963,701","$320,700","$22,643,001",2006
3078,The Wind that Shakes the Barley,"$22,899,908","$1,836,089","$21,063,819",2006
3079,Fanaa,"$22,175,908","$2,105,352","$20,070,556",2006
3080,The Marine,"$22,165,608","$18,844,784","$3,320,824",2006
3081,Unaccompanied Minors,"$21,949,234","$16,655,224","$5,294,010",2006
3082,Flicka,"$21,893,591","$21,000,147","$893,444",2006
3083,Black Christmas,"$21,510,851","$16,273,581","$5,237,270",2006
3084,Waist Deep,"$21,353,303","$21,344,312","$8,991",2006
3085,ATL,"$21,170,563","$21,170,563",-,2006
3086,Bobby,"$20,704,591","$11,242,801","$9,461,790",2006
3087,Beerfest,"$20,387,597","$19,185,184","$1,202,413",2006
3088,Don,"$19,640,129","$2,223,961","$17,416,168",2006
3089,Akeelah and the Bee,"$18,948,425","$18,848,430","$99,995",2006
3090,See No Evil,"$18,564,467","$15,032,800","$3,531,667",2006
3091,Bandidas,"$18,381,890",-,"$18,381,890",2006
3092,Friends with Money,"$18,245,244","$13,368,437","$4,876,807",2006
3093,Krrish,"$18,041,250","$1,430,721","$16,610,529",2006
3094,Lage Raho Munna Bhai,"$17,897,527","$2,217,562","$15,679,965",2006
3095,Flyboys,"$17,834,865","$13,090,630","$4,744,235",2006
3096,Memories of Tomorrow,"$17,696,020","$140,200","$17,555,820",2006
3097,Avenue Montaigne,"$17,574,836","$2,044,858","$15,529,978",2006
3098,Annapolis,"$17,496,992","$17,127,992","$369,000",2006
3099,"Paris, je t'aime","$17,471,727","$4,899,278","$12,572,449",2006
3100,Material Girls,"$16,907,725","$11,449,638","$5,458,087",2006
3101,Hollywoodland,"$16,800,438","$14,426,251","$2,374,187",2006
3102,American Dreamz,"$16,656,103","$7,191,830","$9,464,273",2006
3103,Everyone's Hero,"$16,627,188","$14,523,101","$2,104,087",2006
3104,The Fountain,"$16,468,343","$10,144,010","$6,324,333",2006
3105,Omkara,"$16,466,144","$1,244,576","$15,221,568",2006
3106,The Last Kiss,"$15,852,401","$11,614,790","$4,237,611",2006
3107,Larry the Cable Guy: Health Inspector,"$15,680,099","$15,680,099",-,2006
3108,The Science of Sleep,"$15,116,179","$4,670,644","$10,445,535",2006
3109,Little Children,"$14,821,658","$5,463,019","$9,358,639",2006
3110,Bhagam Bhag,"$14,730,896","$789,963","$13,940,933",2006
3111,Turistas,"$14,697,742","$7,027,762","$7,669,980",2006
3112,My Best Friend,"$14,687,738","$1,426,784","$13,260,954",2006
3113,Freedomland,"$14,655,628","$12,512,886","$2,142,742",2006
3114,Tenacious D in the Pick of Destiny,"$13,924,254","$8,334,575","$5,589,679",2006
3115,One Night with the King,"$13,728,450","$13,395,961","$332,489",2006
3116,The History Boys,"$13,407,101","$2,706,659","$10,700,442",2006
3117,How to Eat Fried Worms,"$13,098,996","$13,040,527","$58,469",2006
3118,Slither,"$12,834,936","$7,802,450","$5,032,486",2006
3119,Bon Cop Bad Cop,"$12,735,126","$12,665,721","$69,405",2006
3120,Idlewild,"$12,643,027","$12,571,185","$71,842",2006
3121,Zoom,"$12,506,362","$11,989,328","$517,034",2006
3122,End of the Spear,"$12,128,105","$11,967,000","$161,105",2006
3123,Dave Chappelle's Block Party,"$12,051,924","$11,718,595","$333,329",2006
3124,The Return,"$11,992,014","$7,749,851","$4,242,163",2006
3125,The Hoax,"$11,772,461","$7,164,995","$4,607,466",2006
3126,After the Wedding,"$11,632,723","$1,534,584","$10,098,139",2006
3127,Something New,"$11,483,669","$11,468,568","$15,101",2006
3128,The Nightmare Before Christmas 2006 3D Release,"$11,111,265","$8,700,869","$2,410,396",2006
3129,Roving Mars,"$10,978,976","$10,407,978","$570,998",2006
3130,The Night Listener,"$10,639,686","$7,836,393","$2,803,293",2006
3131,Facing the Giants,"$10,243,159","$10,178,331","$64,828",2006
3132,All the King's Men,"$9,451,623","$7,221,458","$2,230,165",2006
3133,Goya's Ghosts,"$9,448,082","$1,000,626","$8,447,456",2006
3134,Running Scared,"$9,380,029","$6,855,137","$2,524,892",2006
3135,The Page Turner,"$9,284,027","$209,659","$9,074,368",2006
3136,Comedy of Power,"$8,987,781","$80,550","$8,907,231",2006
3137,Breaking and Entering,"$8,974,829","$930,469","$8,044,360",2006
3138,Rang De Basanti,"$8,846,694","$2,197,694","$6,649,000",2006
3139,Hoot,"$8,224,998","$8,117,637","$107,361",2006
3140,Water 2006 Re-release,"$8,172,058","$3,278,815","$4,893,243",2006
3141,Summer in Berlin,"$7,718,317","$8,340","$7,709,977",2006
3142,A Scanner Darkly,"$7,659,918","$5,501,616","$2,158,302",2006
3143,DOA: Dead or Alive,"$7,516,532","$480,813","$7,035,719",2006
3144,Running with Scissors,"$7,460,797","$7,022,827","$437,970",2006
3145,Phat Girlz,"$7,403,491","$7,061,128","$342,363",2006
3146,It's a Boy Girl Thing,"$7,385,679",$848,"$7,384,831",2006
3147,Trust the Man,"$7,353,118","$1,530,535","$5,822,583",2006
3148,I Served the King of England,"$7,319,210","$617,403","$6,701,807",2006
3149,Venus,"$7,261,490","$3,347,411","$3,914,079",2006
3150,Golden Door,"$7,226,020","$1,070,769","$6,155,251",2006
3151,Hard Candy,"$7,022,209","$1,024,640","$5,997,569",2006
3152,Crossover,"$7,009,668","$7,009,668",-,2006
3153,The Unknown Woman,"$6,868,786","$152,114","$6,716,672",2006
3154,Private Fears In Public Places (Coeurs),"$6,855,294","$134,636","$6,720,658",2006
3155,Kenny,"$6,732,051","$69,220","$6,662,831",2006
3156,Grandma's Boy,"$6,566,277","$6,090,172","$476,105",2006
3157,Copying Beethoven,"$6,191,746","$384,029","$5,807,717",2006
3158,Van Wilder 2: The Rise of Taj,"$6,086,508","$4,300,645","$1,785,863",2006
3159,Vitus,"$6,079,556","$187,480","$5,892,076",2006
3160,Jindabyne,"$6,044,112","$400,438","$5,643,674",2006
3161,Harsh Times,"$5,967,038","$3,337,931","$2,629,107",2006
3162,Malamaal Weekly,"$5,946,304","$204,612","$5,741,692",2006
3163,For Your Consideration,"$5,925,637","$5,549,923","$375,714",2006
3164,The Good German,"$5,914,908","$1,308,696","$4,606,212",2006
3165,Catch a Fire,"$5,710,236","$4,299,773","$1,410,463",2006
3166,Shortbus,"$5,526,675","$1,985,292","$3,541,383",2006
3167,Severance,"$5,515,163","$137,221","$5,377,942",2006
3168,Kabul Express,"$5,091,289","$302,458","$4,788,831",2006
3169,Confetti,"$4,903,131","$228,498","$4,674,633",2006
3170,Half Nelson,"$4,660,481","$2,697,938","$1,962,543",2006
3171,Let's Go to Prison,"$4,630,045","$4,630,045",-,2006
3172,I'm Screwed by Getting Married,"$4,423,137","$223,137","$4,200,000",2006
3173,Keeping Up with the Steins,"$4,409,374","$4,339,241","$70,133",2006
3174,The Lost City,"$4,386,236","$2,484,186","$1,902,050",2006
3175,Inland Empire,"$4,037,577","$861,355","$3,176,222",2006
3176,Tristram Shandy: A Cock and Bull Story,"$3,931,982","$1,253,413","$2,678,569",2006
3177,Brick,"$3,919,254","$2,075,743","$1,843,511",2006
3178,Chup Chup Ke,"$3,912,699","$334,618","$3,578,081",2006
3179,Trailer Park Boys: The Movie,"$3,868,567","$3,860,678","$7,889",2006
3180,The Polar Express 2006 IMAX Release,"$3,765,011","$2,940,722","$824,289",2006
3181,Riding Alone for Thousands of Miles,"$3,752,325","$252,325","$3,500,000",2006
3182,BloodRayne,"$3,650,275","$2,405,420","$1,244,855",2006
3183,Factory Girl,"$3,572,632","$1,675,241","$1,897,391",2006
3184,Lovewrecked,"$3,505,963",-,"$3,505,963",2006
3185,Ten Canoes,"$3,360,030","$283,654","$3,076,376",2006
3186,Boynton Beach Club,"$3,350,115","$3,127,472","$222,643",2006
3187,Unknown,"$3,338,228","$26,403","$3,311,825",2006
3188,Art School Confidential,"$3,306,629","$3,297,137","$9,492",2006
3189,Heading South,"$3,294,052","$898,468","$2,395,584",2006
3190,The Year My Parents Went on Vacation,"$3,218,370","$807,117","$2,411,253",2006
3191,Lady Chatterley,"$3,200,383","$687,414","$2,512,969",2006
3192,Wordplay,"$3,177,636","$3,121,270","$56,366",2006
3193,Them,"$3,144,202","$50,057","$3,094,145",2006
3194,The Boss of It All,"$3,111,395","$51,548","$3,059,847",2006
3195,Nomad: The Warrior,"$3,088,685","$79,123","$3,009,562",2006
3196,Samoan Wedding,"$2,993,332","$72,244","$2,921,088",2006
3197,Romance & Cigarettes,"$2,935,242","$557,471","$2,377,771",2006
3198,Wah-Wah,"$2,846,148","$234,750","$2,611,398",2006
3199,O Jerusalem,"$2,724,303","$234,480","$2,489,823",2006
3200,Infamous,"$2,689,799","$1,151,330","$1,538,469",2006
3201,Find Me Guilty,"$2,636,637","$1,173,643","$1,462,994",2006
3202,Imagine Me & You,"$2,635,305","$672,243","$1,963,062",2006
3203,After Dark's Horror Fest: 8 Films to Die For,"$2,575,000","$2,575,000",-,2006
3204,The Man of My Life,"$2,542,577","$7,704","$2,534,873",2006
3205,Quinceañera,"$2,522,787","$1,692,693","$830,094",2006
3206,Lonely Hearts,"$2,520,835","$188,565","$2,332,270",2006
3207,Still Life,"$2,504,465","$76,983","$2,427,482",2006
3208,Ask the Dust,"$2,460,057","$743,847","$1,716,210",2006
3209,A Family Secret,"$2,438,422","$2,438,422",-,2006
3210,Fur: An Imaginary Portrait of Diane Arbus,"$2,312,717","$223,202","$2,089,515",2006
3211,Strangers with Candy,"$2,254,124","$2,072,645","$181,479",2006
3212,Fast Food Nation,"$2,209,322","$1,005,539","$1,203,783",2006
3213,Neil Young: Heart of Gold,"$2,201,933","$1,904,606","$297,327",2006
3214,Dark Blue Almost Black,"$2,171,323","$6,646","$2,164,677",2006
3215,Candy,"$2,105,096","$45,128","$2,059,968",2006
3216,Right at Your Door,"$2,043,704","$65,018","$1,978,686",2006
3217,The Wedding Weekend,"$2,037,373","$1,232,961","$804,412",2006
3218,A Guide to Recognizing Your Saints,"$2,035,468","$517,809","$1,517,659",2006
3219,The Italian,"$2,007,774","$555,436","$1,452,338",2006
3220,Election 2,"$1,833,853","$55,758","$1,778,095",2006
3221,Renaissance,"$1,831,348","$70,644","$1,760,704",2006
3222,Dans Paris,"$1,810,452","$63,667","$1,746,785",2006
3223,The Notorious Bettie Page,"$1,778,006","$1,415,082","$362,924",2006
3224,Sweet Land,"$1,774,931","$1,706,325","$68,606",2006
3225,Who Killed the Electric Car?,"$1,764,304","$1,678,874","$85,430",2006
3226,Starter for 10,"$1,736,394","$216,839","$1,519,555",2006
3227,The Breed,"$1,689,984","$14,500","$1,675,484",2006
